ID,Subject,trial_number,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes,time_delay,return_delay,time_fe_after,means,time_fe_before,means_of_FC
1,Akido,1,1078.68333,1085.48333,1097.58333,1110.85,1118.71667,1134.91667,1139.86667,#N/A,#N/A,self-ordered,9,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,10.19722333,#N/A,10.570835
2,Akido,2,1223.46667,1228,1232.7,1238.53333,1244.05,1249.35,1255.45,1266.88333,1272.95,self-ordered,7,1,6,#N/A,1,31.98333,31.98333,11.43333,6.18541625,6.1,6.708333333
3,Akido,3,1349.36667,1355,1359.86667,1366.13333,1371.06667,1377.36667,1385.73333,1397.9,#N/A,self-ordered,4,2,2,#N/A,2,16.76666,11.13333,4.93334,6.933332857,6.26666,7.606666
4,Akido,4,1504.35,1511.96667,1521.8,1527.06667,1532.91667,1537.56667,1543.3,1548,#N/A,forced,7,3,4,1,2,38.95,21.5,4.7,6.235714286,5.73333,5.24
5,Akido,5,1638.56667,1646.43333,1655.46667,1659.48333,1664.55,1673.1,1685.06667,1697.96667,1704.7,forced,9,#N/A,#N/A,1,0,66.13333,#N/A,#N/A,8.26666625,#N/A,8.205555
6,Akido,6,1782.06667,1789.08333,1799.31667,1803.98333,1809.33333,1817.05,1822.28333,1834.9,1843.31667,forced,4,2,2,1,3,21.91666,14.9,5.35,7.65625,4.66666,7.333333333
7,Albert,1,158.54994,162.3166,165.8666,170.3666,174.88326,178.11659,182.01659,185.23326,189.53326,self-ordered,3,1,2,1,3,7.31666,7.31666,4.5,3.872915,3.55,3.944443333
8,Albert,2,293.84988,296.56655,299.63321,302.54988,305.68321,308.99988,311.94987,318.98321,322.24987,self-ordered,7,2,5,1,1,18.09999,15.38332,7.03334,3.54999875,2.94999,3.769443333
9,Albert,3,406.04984,409.5165,412.5165,415.54983,418.28317,421.8665,424.78316,428.26649,432.09983,self-ordered,5,1,4,2,2,12.23333,12.23333,3.58333,3.25624875,2.73334,3.263888333
10,Albert,4,567.53311,574.3331,582.26643,584.56643,588.16643,591.01643,596.01643,599.66643,602.79976,forced,7,2,5,2,1,28.48332,21.68333,3.65,4.40833125,5,3.422221667
11,Albert,5,690.88306,699.03305,705.88305,708.16638,711.43305,714.61638,718.38304,721.24971,724.06638,forced,5,1,4,1,2,20.54999,20.54999,3.18333,4.147915,3.26667,3.030555
12,Albert,6,827.94967,833.86633,840.89966,843.84966,846.51633,849.78299,853.01632,856.49966,859.81632,forced,8,3,5,2,1,28.54999,15.6,3.31666,3.98333125,3.48334,3.152776667
13,Blue5,1,246.75,250.73333,254.98333,258.76667,262.6,266.75,272.35,275.53333,282.91667,self-ordered,4,1,3,1,5,12.01667,12.01667,3.83333,4.52083375,3.78334,4.655556667
14,Blue5,2,379.4,382.41667,386.56667,390.53333,394.38333,398.23333,401.75,405.26667,409.15,self-ordered,6,4,2,2,2,18.83333,7.7,3.51667,3.71875,3.85,3.763888333
15,Blue5,3,524.38333,527.41667,530.75,533.6,537.25,540.28333,544.05,548.26667,551.78333,self-ordered,6,1,5,1,3,15.9,15.9,3.76667,3.425,3.03333,3.505555
16,Blue5,4,660,666.91667,677.48333,680.63333,683.3,686.88333,691.01667,694.81667,698.16667,forced,3,1,2,1,3,17.48333,17.48333,3.15,4.77083375,10.56666,3.447223333
17,Blue5,5,796.88333,801.5,810.41667,814.18333,818.43333,822.53333,826.36667,829.66667,833.05,forced,4,1,3,1,4,17.3,17.3,4.25,4.52083375,3.76666,3.772221667
18,Blue5,6,921.51667,928.61667,937.08333,939.96667,944.1,947.16667,950.81667,954.55,957.73333,forced,6,4,2,1,2,25.65,7.2,3.65,4.5270825,3.06667,3.441666667
19,Chomsky,1,288.34976,292.36643,297.23309,306.06641,315.68307,325.14973,331.61639,338.66639,343.63305,self-ordered,6,1,5,1,2,36.79997,36.79997,6.46666,6.91041125,9.46666,7.733326667
20,Chomsky,2,471.39961,475.44961,479.8496,486.9496,491.64959,497.84959,502.73292,507.81625,515.41624,self-ordered,6,1,5,2,2,26.44998,26.44998,4.88333,5.50207875,6.2,5.927773333
21,Chomsky,3,655.71613,659.89946,664.16612,668.54945,673.78278,681.79944,687.8661,696.24943,#N/A,self-ordered,9,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,5.790471429,#N/A,6.416662
22,Chomsky,4,855.68263,866.48262,872.68261,878.64928,883.38261,891.16593,895.98259,903.06592,908.13258,forced,6,3,3,4,2,35.4833,18.48332,4.81666,6.55624375,7.78332,5.908328333
23,Chomsky,5,1011.51583,1018.29916,1034.11581,1037.73248,1042.31581,1047.0658,1054.6658,1059.71579,#N/A,forced,5,2,3,5,1,30.79998,24.01665,4.74999,6.885708571,4.58333,5.119996
24,Chomsky,6,1157.76571,1167.19904,1179.64903,1184.34902,1189.13235,1195.31568,1200.64901,1207.449,1213.799,forced,6,1,5,3,2,37.54997,37.54997,5.33333,7.00416125,6.18333,5.691661667
25,Diego6,1,376.98333,383.76667,393.11667,397.06667,402.36667,406.7,412.1,418.23333,424.18333,forced,5,3,2,3,2,25.38334,9.25,4.33333,5.9,5.3,5.177776667
26,Diego6,2,514.18333,520.55,527.61667,532.26667,536.53333,541.96667,548.06667,562.73333,#N/A,forced,4,1,3,1,3,18.08334,18.08334,4.26666,6.935714286,4.65,7.023332
27,Diego6,3,657.11667,661.98333,668.01667,673.55,680.23333,687.28333,692.43333,698.73333,#N/A,forced,6,3,3,2,1,30.16666,19.26666,5.15,5.945237143,7.05,6.143332
28,Diego6,4,789.58333,794.46667,800.7,805.5,811.43333,816.38333,824.6,831.43333,#N/A,self-ordered,7,1,6,3,2,35.01667,35.01667,6.83333,5.978571429,8.21667,6.146666
29,Diego6,5,944.8,948.6,953.55,960.6,966.73333,973.8,987.26667,996.03333,#N/A,self-ordered,6,1,5,3,1,29,29,13.46667,7.319047143,7.06667,8.496666
30,Diego6,6,1102.05,1106.51667,1111.3,1115.6,1122.33333,1128.43333,1150.51667,1159.06667,#N/A,self-ordered,9,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,8.145238571,#N/A,9.553334
31,Fendi,1,241.54985,246.33318,251.46651,255.93317,261.29984,265.8665,270.63316,276.86649,280.66649,self-ordered,9,#N/A,#N/A,7,0,39.11664,#N/A,#N/A,4.88958,#N/A,4.866663333
32,Fendi,2,366.79977,371.49977,375.24977,379.1331,383.56643,388.09976,392.29975,397.59975,403.99975,self-ordered,9,#N/A,#N/A,7,0,37.19998,#N/A,#N/A,4.6499975,#N/A,4.791663333
33,Fendi,3,485.7497,488.33303,492.16636,495.91636,498.28302,502.43302,506.74968,510.36635,514.71634,self-ordered,9,#N/A,#N/A,7,0,28.96664,#N/A,#N/A,3.62083,#N/A,3.75833
34,Fendi,4,632.98294,644.56626,678.84958,682.11624,690.11624,695.31623,697.94956,703.54956,709.63289,forced,4,1,3,5,1,49.1333,49.1333,8,9.58124375,3.26666,5.130551667
35,Fendi,5,823.78282,830.29948,833.68281,838.19948,862.41613,868.43279,882.21611,898.98277,#N/A,forced,6,1,5,6,1,44.64997,44.64997,13.78332,10.74285,6.01666,13.059992
36,Fendi,6,1016.81603,1026.31603,1029.51602,1037.83268,1042.04935,1054.54934,1061.34934,1067.18267,1074.39933,forced,7,1,6,6,1,44.53331,44.53331,5.83333,7.1979125,6.8,7.480551667
37,Filou9,1,40.93333,45.9,51.23333,55.81667,60.7,65.81667,70.68333,75.16667,79.53333,self-ordered,8,1,7,5,1,34.23334,34.23334,4.36666,4.825,4.48334,4.716666667
38,Filou9,2,170.36667,173.75,177.88333,181.7,185.28333,189.4,193.48333,197.11667,#N/A,self-ordered,8,1,7,3,1,26.75,26.75,#N/A,3.821428571,3.63334,3.846668
39,Filou9,3,286.53333,290.13333,293.76667,296.86667,301.6,316.2,320.68333,327.43333,332.23333,self-ordered,9,#N/A,#N/A,7,0,45.7,#N/A,#N/A,5.7125,#N/A,6.41111
40,Filou9,4,485.73333,492.61667,500.61667,510.4,512.98333,519.35,522.51667,531.15,537.58333,forced,7,1,6,3,1,36.78334,36.78334,8.63333,6.48125,3.16667,6.16111
41,Filou9,5,624.48333,633.81667,644.58333,647.58333,654.51667,658.4,662.68333,667.93333,674.63333,forced,9,#N/A,#N/A,2,0,50.15,#N/A,#N/A,6.26875,#N/A,5.008333333
42,Filou9,6,766.95,775.86667,785.65,788.56667,792.35,799.51667,804.21667,809.88333,813.93333,forced,8,2,6,5,1,42.93333,34.01666,4.05,5.87291625,5.66666,4.713888333
43,Freeda,1,169.71657,185.46656,217.04987,228.94987,237.36653,245.63319,252.36652,260.31652,#N/A,forced,6,3,3,1,2,75.91662,28.58332,6.73333,12.94285,8.26666,8.65333
44,Freeda,2,390.53311,400.44977,405.6831,410.94976,420.43309,431.21642,439.49974,449.06641,#N/A,forced,6,3,3,2,2,40.68331,25.53332,8.28332,8.3619,10.78333,8.676662
45,Freeda,3,541.09969,550.03301,553.91634,560.29967,570.34967,578.01633,584.44966,599.43298,604.74965,forced,4,1,3,1,3,19.19998,19.19998,10.05,7.956245,6.38333,8.472218333
46,Freeda,4,716.39958,723.36625,729.21624,735.08291,740.4329,746.39957,753.74956,867.4995,#N/A,self-ordered,5,2,3,1,2,24.03332,17.06665,5.96667,21.58570286,5.34999,27.656652
47,Freeda,5,871.99949,877.98282,883.56615,891.68281,896.46615,902.49948,906.68281,1094.84936,#N/A,self-ordered,3,1,2,4,3,11.56666,11.56666,8.11666,31.83569571,5.58333,42.256642
48,Freeda,6,1099.84936,1105.09936,1111.06602,1122.06601,1128.78268,1134.68267,1142.566,#N/A,#N/A,self-ordered,7,1,6,1,1,42.71664,42.71664,#N/A,7.11944,7.88333,7.874995
49,Gandalf,1,190.48314,197.7998,204.29979,211.04978,222.39977,228.01643,234.03309,239.38309,246.41641,self-ordered,5,1,4,1,4,31.91663,31.91663,5.61666,6.99165875,11.34999,7.019436667
50,Gandalf,2,323.04967,327.34966,332.04966,337.06632,341.41632,346.96631,352.99964,358.58297,367.38296,self-ordered,6,3,3,2,3,23.91664,14.91665,6.03333,5.54166125,5.54999,5.888883333
51,Gandalf,3,453.98287,458.59953,465.33286,469.33285,473.44952,479.29951,484.66617,491.26616,496.56616,self-ordered,8,1,7,6,1,37.28329,37.28329,5.3,5.32291125,6.59999,5.20555
52,Gandalf,4,600.54939,607.68271,609.98271,615.64937,619.2327,624.93269,631.26602,637.89935,642.04934,forced,8,1,7,6,1,37.34996,37.34996,4.14999,5.18749375,6.63333,5.344438333
53,Gandalf,5,738.94924,745.59924,749.58257,754.36589,760.18256,763.38255,769.71588,775.13254,781.73253,forced,8,2,6,3,1,36.1833,29.5333,6.59999,5.34791125,5.41666,5.358326667
54,Gandalf,6,862.06578,867.08245,868.38244,874.86577,880.63243,884.33243,890.78242,894.59908,901.53241,forced,7,1,6,4,1,28.71664,28.71664,3.81666,4.93332875,6.44999,5.524995
55,Goofy2,1,15.84998,27.19997,37.21662,40.51662,45.76661,52.24994,55.88326,64.66659,#N/A,forced,3,2,1,2,2,21.36664,10.01665,3.3,6.973801429,10.01665,5.489994
56,Goofy2,2,168.94979,176.24978,184.2331,189.71643,193.73309,199.91642,206.41641,212.88307,217.48306,forced,9,#N/A,#N/A,1,0,48.53327,#N/A,#N/A,6.06665875,#N/A,5.54166
57,Goofy2,3,303.14962,310.64961,320.23294,324.3996,328.29959,334.08292,337.06625,342.94957,347.79957,forced,6,2,4,1,1,30.9333,23.43331,2.98333,5.58124375,5.78333,4.594438333
58,Goofy2,4,425.93281,429.34947,433.24946,438.88279,443.04945,446.23278,453.3161,458.13277,463.51609,self-ordered,5,1,4,#N/A,2,17.11664,17.11664,3.18333,4.69791,4.16666,5.044438333
59,Goofy2,5,555.34931,558.04931,562.8493,566.76596,570.96596,575.66595,583.66594,589.09927,#N/A,self-ordered,4,1,3,1,3,11.41665,11.41665,4.2,4.821422857,3.91666,5.249994
60,Goofy2,6,678.88249,681.69916,686.03248,689.66581,694.44914,698.19913,702.08246,707.28246,713.14912,self-ordered,7,1,6,1,1,23.19997,23.19997,5.2,4.28332875,3.88333,4.51944
61,Kito,1,326.03333,330.5,336.33333,339.88333,343.65,347.36667,351.41667,355.33333,361.91667,self-ordered,7,1,6,4,1,25.38334,25.38334,3.91666,4.4854175,4.05,4.26389
62,Kito,2,456.55,459.65,462.85,466.36667,469.91667,473.48333,477.78333,484.63333,581.86667,self-ordered,4,1,3,5,1,9.81667,9.81667,3.55,15.66458375,3.51667,19.83611167
63,Kito,3,584.15,587.26667,589.8,592.96667,596.6,599.75,603.9,609.56667,612.63333,self-ordered,5,2,3,4,3,12.45,9.33333,3.15,3.56041625,3.63333,3.805555
64,Kito,4,713.23333,719.36667,727.18333,731.26667,734.96667,739.05,742.45,746.16667,750.58333,forced,8,1,7,6,1,32.93334,32.93334,4.41666,4.66875,3.71667,3.9
65,Kito,5,854.6,860.68333,867.73333,871.63333,880.25,883.4,887.53333,890.85,895.11667,forced,5,2,3,5,2,25.65,19.56667,3.15,5.06458375,8.61667,4.56389
66,Kito,6,1000.28333,1006.46667,1012.95,1016.43333,1019.06667,1023.06667,1026.33333,1030.3,1035.33333,forced,9,#N/A,#N/A,7,0,35.05,#N/A,#N/A,4.38125,#N/A,3.730555
67,Lea3,1,242.46667,251.73333,261.8,266.46667,272.23333,277.48333,282.83333,288.83333,294.61667,forced,8,2,6,5,1,46.36666,37.1,5.78334,6.51875,6,5.469445
68,Lea3,2,382.36667,390.25,398.8,403.51667,409.06667,414.01667,419.06667,424.75,430.91667,forced,8,2,6,3,1,42.38333,34.5,6.16667,6.06875,5.68333,5.352778333
69,Lea3,3,517.91667,527.28333,538.1,542.23333,548.01667,552.71667,558.16667,563.53333,#N/A,forced,9,#N/A,#N/A,1,0,#N/A,#N/A,#N/A,6.516665714,#N/A,5.086666
70,Lea3,4,653.86667,657.83333,662.38333,666.58333,672.28333,676.9,683.13333,689.75,775.88333,self-ordered,8,3,5,3,1,35.88333,27.36667,86.13333,15.2520825,6.61667,18.91666667
71,Lea3,5,779.26667,784.28333,788.95,792.95,798.58333,804.28333,809.73333,#N/A,#N/A,self-ordered,8,1,7,5,1,#N/A,#N/A,#N/A,5.077776667,#N/A,5.1958325
72,Lenny4,1,180.78327,184.0666,187.9666,191.66659,195.59993,199.23326,203.36659,206.83326,209.84992,self-ordered,3,1,2,1,3,7.18333,7.18333,3.69999,3.63333125,3.9,3.64722
73,Lenny4,2,318.58321,322.01655,325.33321,328.44988,332.28321,335.74987,339.13321,343.44987,346.8832,self-ordered,3,1,2,1,3,6.75,6.75,3.11667,3.53749875,3.31666,3.591665
74,Lenny4,3,428.16651,430.44984,434.84984,438.58317,442.23317,444.93317,449.3665,453.39983,457.41649,self-ordered,5,2,3,1,3,14.06666,11.78333,2.7,3.6562475,3.65,3.761108333
75,Lenny4,4,557.78312,565.71645,567.68312,571.74978,574.43312,577.94978,581.06645,584.63311,588.06645,forced,7,4,3,1,2,23.28333,9.31667,3.56666,3.78541625,3.11667,3.397221667
76,Lenny4,5,678.39974,685.51641,688.21641,691.06641,694.44974,697.9164,701.1664,704.5164,709.38307,forced,6,1,5,#N/A,3,19.51666,19.51666,3.25,3.87291625,3.46666,3.527776667
77,Lenny4,6,804.1497,810.91636,812.56636,816.34969,819.43302,822.24969,826.53302,829.88302,832.41635,forced,5,3,2,1,3,15.28332,6.86666,2.81667,3.53333125,3.08333,3.308331667
78,Lexi3,1,250.33333,258.28333,266.51667,270.85,275.98333,283.56667,289.6,295.61667,301.45,forced,5,3,2,2,4,25.65,9.46666,7.58334,6.38958375,5.13333,5.822221667
79,Lexi3,2,384.86667,389.75,399.6,403.96667,417.35,422.46667,427.6,434.1,439.58333,forced,7,2,5,2,1,42.73333,37.85,6.5,6.8395825,5.13333,6.663888333
80,Lexi3,3,523.55,530.9,541.9,546.51667,551.83333,557.4,563.1,569.66667,575.68333,forced,8,3,5,2,1,46.11667,27.76667,6.01666,6.51666625,6.56667,5.630555
81,Lexi3,4,666.38333,672.25,677.55,682.95,688.76667,694.73333,702.78333,707.93333,#N/A,self-ordered,6,1,5,2,3,28.35,28.35,8.05,5.935714286,5.96666,6.076666
82,Lexi3,5,795.03333,799.5,805.18333,809.85,813.78333,820.46667,827.36667,832.85,#N/A,self-ordered,9,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,5.402381429,#N/A,5.533334
83,Lexi3,6,925.03333,928.88333,934.81667,938.88333,945.66667,953.8,960.41667,965.56667,971.98333,self-ordered,5,1,4,1,3,20.63334,20.63334,8.13333,5.86875,6.78334,6.194443333
