ID,Subject,trial_number,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
1,Anubis3,1,289.54982,309.6498,322.1498,328.46646,341.24978,346.76645,351.79978,356.88311,362.11644
2,Anubis3,2,508.89968,513.39967,517.49967,522.56634,529.733,535.56633,541.19966,549.28299,555.36631
3,Anubis3,3,690.39956,695.43289,699.86622,704.86622,710.88288,716.16621,721.79954,746.54953,#N/A
4,Anubis3,4,918.89942,928.28274,946.41607,950.6994,955.78273,960.64939,967.28272,976.78271,#N/A
5,Anubis3,5,1098.06597,1107.4993,1119.93262,1124.68262,1131.11595,1138.06595,1143.73261,1148.49927,#N/A
6,Anubis3,6,1279.31586,1291.69918,1318.01583,1329.88249,1336.91582,1342.54915,1349.03248,1352.63248,1359.89914
7,Danny,1,205.65,212.45,226.3,235.06667,244.65,257.01667,266.6,282.58333,289.91667
8,Danny,2,393.38333,398.83333,405.75,413.11667,420.53333,426.01667,433.61667,439.16667,534.88333
9,Danny,3,538.95,545.9,553.48333,562.4,568.93333,575.25,582.21667,#N/A,#N/A
10,Danny,4,753.06667,760.16667,770.18333,776.78333,783.83333,801.28333,808.91667,817.11667,#N/A
11,Danny,5,966.55,980.63333,987.06667,992.81667,998.88333,1007.61667,1015.38333,1029.13333,#N/A
12,Danny,6,1174.3,1184.3,1191.65,1198.78333,1204.71667,1212.41667,1219.05,1226.15,1232.01667
13,Diego6,1,376.98333,383.76667,393.11667,397.06667,402.36667,406.7,412.1,418.23333,424.18333
14,Diego6,2,514.18333,520.55,527.61667,532.26667,536.53333,541.96667,548.06667,562.73333,#N/A
15,Diego6,3,657.11667,661.98333,668.01667,673.55,680.23333,687.28333,692.43333,698.73333,#N/A
16,Diego6,4,789.58333,794.46667,800.7,805.5,811.43333,816.38333,824.6,831.43333,#N/A
17,Diego6,5,944.8,948.6,953.55,960.6,966.73333,973.8,987.26667,996.03333,#N/A
18,Diego6,6,1102.05,1106.51667,1111.3,1115.6,1122.33333,1128.43333,1150.51667,1159.06667,#N/A
19,Nala13,1,212.53333,215.53333,220.2,225.18333,229.23333,232.58333,235.9,241.25,#N/A
20,Nala13,2,341.53333,345.21667,348.61667,352.01667,355.6,359.25,363.21667,367.21667,370.65
21,Nala13,3,467.11667,470.68333,474.43333,478.36667,482.86667,487.25,492.06667,495.1,499.8
22,Nala13,4,597.41667,604.73333,615.7,619.18333,622.26667,626.56667,631.33333,634.78333,639.05
23,Nala13,5,717.28333,724.31667,735.33333,739.55,744.11667,748.56667,752.78333,756.91667,761.75
24,Nala13,6,848.93333,856.13333,867.31667,870.3,874.63333,878.48333,882.6,887.56667,891.98333
25,Dante,1,242.26659,246.74992,251.16659,255.79992,262.46658,267.31658,272.34991,277.69991,282.99991
26,Dante,2,374.98321,379.86655,385.11654,389.93321,394.29987,399.73321,406.04987,414.16653,419.09987
27,Dante,3,522.59983,526.68316,530.84983,536.19983,540.51649,546.08316,552.69982,558.08315,564.31649
28,Dante,4,694.88311,707.13311,716.36644,721.4831,727.11643,733.06643,737.96643,745.51643,752.69976
29,Dante,5,853.54973,863.91639,869.39972,874.98305,880.99972,887.28305,904.18304,911.33304,#N/A
30,Dante,6,1008.86634,1019.91634,1030.89967,1035.783,1040.533,1045.633,1052.24966,1058.34966,1064.88299
31,Tenya,1,211,217.03333,224.3,229.53333,234.7,243.51667,249.41667,255.25,261.61667
32,Tenya,2,354.7,363.95,367.51667,373.21667,380.33333,385.45,393.63333,400.2,407.1
33,Tenya,3,502.18333,510.86667,515.51667,521.15,527.88333,533.28333,539.76667,545.85,552.23333
34,Tenya,4,658.76667,662.43333,668.31667,674.96667,680.46667,686.46667,692.83333,698.8,705.8
35,Tenya,5,800,805.93333,812.26667,817.53333,823.63333,831.16667,836.26667,844.18333,#N/A
36,Tenya,6,928.65,932.5,938.88333,944.8,950.21667,956.95,963.25,970.55,978.53333
37,Reni,1,205.28321,217.3332,233.68319,246.24985,253.26651,259.64984,265.91651,272.89983,279.04983
38,Reni,2,400.51642,408.34975,416.63308,423.53308,430.79974,440.2164,449.49973,456.34972,551.61633
39,Reni,3,559.56633,567.23299,573.71632,579.16632,584.76631,590.54964,597.24964,603.7163,#N/A
40,Reni,4,692.69958,697.73291,704.24957,714.01623,721.59956,727.61623,734.88289,739.86622,746.03288
41,Reni,5,830.6995,837.03283,843.93282,849.83282,856.39948,861.63281,869.76614,878.09947,886.04946
42,Reni,6,980.31607,985.53274,993.0994,999.96606,1006.18272,1011.14939,1018.66605,1025.09938,#N/A
43,Lilo3,1,315.39985,326.64984,339.7665,345.1665,350.88316,358.93316,369.36649,375.03315,381.18315
44,Lilo3,2,494.96642,502.88309,513.96642,518.64975,522.96641,527.61641,534.68307,540.18307,544.79973
45,Lilo3,3,633.94969,640.84969,652.94968,657.81634,663.73301,668.03301,672.99967,678.94967,683.91633
46,Lilo3,4,784.53295,788.81628,792.88295,797.64961,804.34961,809.93294,814.71627,819.98293,#N/A
47,Lilo3,5,930.66621,934.11621,938.99954,943.66621,951.23287,958.49953,964.61619,970.38286,#N/A
48,Lilo3,6,1082.01614,1087.01614,1092.11613,1096.74946,1103.79946,1109.96612,1123.63278,1129.36611,1136.74944
49,Filou9,1,40.93333,45.9,51.23333,55.81667,60.7,65.81667,70.68333,75.16667,79.53333
50,Filou9,2,170.36667,173.75,177.88333,181.7,185.28333,189.4,193.48333,197.11667,#N/A
51,Filou9,3,286.53333,290.13333,293.76667,296.86667,301.6,316.2,320.68333,327.43333,332.23333
52,Filou9,4,485.73333,492.61667,500.61667,510.4,512.98333,519.35,522.51667,531.15,537.58333
53,Filou9,5,624.48333,633.81667,644.58333,647.58333,654.51667,658.4,662.68333,667.93333,674.63333
54,Filou9,6,766.95,775.86667,785.65,788.56667,792.35,799.51667,804.21667,809.88333,813.93333
55,Chomsky,1,288.34976,292.36643,297.23309,306.06641,315.68307,325.14973,331.61639,338.66639,343.63305
56,Chomsky,2,471.39961,475.44961,479.8496,486.9496,491.64959,497.84959,502.73292,507.81625,515.41624
57,Chomsky,3,655.71613,659.89946,664.16612,668.54945,673.78278,681.79944,687.8661,696.24943,#N/A
58,Chomsky,4,855.68263,866.48262,872.68261,878.64928,883.38261,891.16593,895.98259,903.06592,908.13258
59,Chomsky,5,1011.51583,1018.29916,1034.11581,1037.73248,1042.31581,1047.0658,1054.6658,1059.71579,#N/A
60,Chomsky,6,1157.76571,1167.19904,1179.64903,1184.34902,1189.13235,1195.31568,1200.64901,1207.449,1213.799
61,Mazekeen,1,229.63333,239.08333,255.18333,258.56667,262.93333,266.78333,271.06667,276.43333,281.65
62,Mazekeen,2,373.9,382.78333,391.68333,395.76667,401.13333,405.6,415.03333,419.68333,#N/A
63,Mazekeen,3,521.76667,527.66667,536.68333,539.78333,544.91667,548.61667,553.78333,558.51667,#N/A
64,Mazekeen,4,684,687.31667,691.58333,696.95,705.08333,711.33333,718.33333,725.63333,#N/A
65,Mazekeen,5,824.86667,829.05,833.06667,836.86667,842.66667,850,856.1,861.25,#N/A
66,Mazekeen,6,957.43333,960.75,965.18333,968.91667,973.81667,982.1,988.46667,994.78333,#N/A
67,Goofy2,1,15.84998,27.19997,37.21662,40.51662,45.76661,52.24994,55.88326,64.66659,#N/A
68,Goofy2,2,168.94979,176.24978,184.2331,189.71643,193.73309,199.91642,206.41641,212.88307,217.48306
69,Goofy2,3,303.14962,310.64961,320.23294,324.3996,328.29959,334.08292,337.06625,342.94957,347.79957
70,Goofy2,4,425.93281,429.34947,433.24946,438.88279,443.04945,446.23278,453.3161,458.13277,463.51609
71,Goofy2,5,555.34931,558.04931,562.8493,566.76596,570.96596,575.66595,583.66594,589.09927,#N/A
72,Goofy2,6,678.88249,681.69916,686.03248,689.66581,694.44914,698.19913,702.08246,707.28246,713.14912
73,Ludwig2,1,312.51639,322.68305,336.24971,341.11637,346.0497,351.84969,359.03302,365.28301,372.69967
74,Ludwig2,2,456.0496,462.96626,472.76625,479.39958,483.54958,489.13291,496.3829,504.94956,511.13289
75,Ludwig2,3,591.29948,597.58281,605.84947,611.06613,615.98279,623.24946,631.83278,639.11611,645.43277
76,Ludwig2,4,727.3327,731.58269,737.69936,743.54935,749.96601,755.81601,761.74933,768.14933,#N/A
77,Ludwig2,5,858.86592,862.69925,870.83257,875.94923,883.33256,890.21589,898.73255,905.88254,1002.34912
78,Ludwig2,6,1007.09912,1013.38245,1021.23244,1025.98244,1034.31576,1040.88242,1048.98242,#N/A,#N/A
79,Vivi,1,344.1,349.36667,353.55,364.46667,373.73333,380.68333,388.96667,401.53333,493.66667
80,Vivi,2,497.61667,505.75,511.56667,517.65,524.46667,536.66667,556.91667,#N/A,#N/A
81,Vivi,3,654.16667,659.58333,665.26667,672.36667,682.8,692.8,707.31667,719.31667,#N/A
82,Vivi,4,889.36667,900.66667,911.8,920.33333,929.06667,938.26667,958.98333,980.78333,#N/A
83,Vivi,5,1090,1102.73333,1111.88333,1123.21667,1129.86667,1137.56667,1145.51667,1151.06667,#N/A
84,Vivi,6,1289.25,1297.85,1310.48333,1321.03333,1328.35,1338.15,1348.43333,1356.11667,#N/A
85,Freeda,1,169.71657,185.46656,217.04987,228.94987,237.36653,245.63319,252.36652,260.31652,#N/A
86,Freeda,2,390.53311,400.44977,405.6831,410.94976,420.43309,431.21642,439.49974,449.06641,#N/A
87,Freeda,3,541.09969,550.03301,553.91634,560.29967,570.34967,578.01633,584.44966,599.43298,604.74965
88,Freeda,4,716.39958,723.36625,729.21624,735.08291,740.4329,746.39957,753.74956,867.4995,#N/A
89,Freeda,5,871.99949,877.98282,883.56615,891.68281,896.46615,902.49948,906.68281,1094.84936,#N/A
90,Freeda,6,1099.84936,1105.09936,1111.06602,1122.06601,1128.78268,1134.68267,1142.566,#N/A,#N/A
91,Ylvie,4,448.11667,451.18333,455.55,459.66667,464.41667,468.58333,474.63333,479.86667,485.06667
92,Ylvie,5,567.16667,574.65,579.73333,584.96667,589.06667,593.81667,598.3,604.48333,#N/A
93,Ylvie,6,683.66667,686.71667,691,694.71667,699,704.28333,709.06667,714.21667,719.58333
94,Fendi,1,241.54985,246.33318,251.46651,255.93317,261.29984,265.8665,270.63316,276.86649,280.66649
95,Fendi,2,366.79977,371.49977,375.24977,379.1331,383.56643,388.09976,392.29975,397.59975,403.99975
96,Fendi,3,485.7497,488.33303,492.16636,495.91636,498.28302,502.43302,506.74968,510.36635,514.71634
97,Fendi,4,632.98294,644.56626,678.84958,682.11624,690.11624,695.31623,697.94956,703.54956,709.63289
98,Fendi,5,823.78282,830.29948,833.68281,838.19948,862.41613,868.43279,882.21611,898.98277,#N/A
99,Fendi,6,1016.81603,1026.31603,1029.51602,1037.83268,1042.04935,1054.54934,1061.34934,1067.18267,1074.39933
100,Tofu,1,171.18328,178.69994,190.81661,194.19994,198.84994,206.64994,210.83327,216.29993,220.53326
101,Tofu,2,330.63323,336.1499,343.51656,346.56656,350.38322,354.44989,358.28322,364.48322,368.58322
102,Tofu,3,466.43319,474.51652,482.33318,485.69985,488.66651,496.38318,500.08318,505.04984,508.84984
103,Tofu,4,598.49981,600.84981,605.46648,609.66648,612.84981,617.49981,621.73314,626.03314,631.1498
104,Tofu,5,723.14977,725.68311,730.23311,734.2331,737.5331,743.6831,747.49977,751.3331,756.8831
105,Tofu,6,847.3164,851.99973,856.7664,861.54973,866.0164,869.79973,875.73306,880.83306,#N/A
106,Albert,1,158.54994,162.3166,165.8666,170.3666,174.88326,178.11659,182.01659,185.23326,189.53326
107,Albert,2,293.84988,296.56655,299.63321,302.54988,305.68321,308.99988,311.94987,318.98321,322.24987
108,Albert,3,406.04984,409.5165,412.5165,415.54983,418.28317,421.8665,424.78316,428.26649,432.09983
109,Albert,4,567.53311,574.3331,582.26643,584.56643,588.16643,591.01643,596.01643,599.66643,602.79976
110,Albert,5,690.88306,699.03305,705.88305,708.16638,711.43305,714.61638,718.38304,721.24971,724.06638
111,Albert,6,827.94967,833.86633,840.89966,843.84966,846.51633,849.78299,853.01632,856.49966,859.81632
112,Lea3,1,242.46667,251.73333,261.8,266.46667,272.23333,277.48333,282.83333,288.83333,294.61667
113,Lea3,2,382.36667,390.25,398.8,403.51667,409.06667,414.01667,419.06667,424.75,430.91667
114,Lea3,3,517.91667,527.28333,538.1,542.23333,548.01667,552.71667,558.16667,563.53333,#N/A
115,Lea3,4,653.86667,657.83333,662.38333,666.58333,672.28333,676.9,683.13333,689.75,775.88333
116,Lea3,5,779.26667,784.28333,788.95,792.95,798.58333,804.28333,809.73333,#N/A,#N/A
117,Lea3,6,896.76667,899.85,905.38333,910.38333,915.55,921.71667,927.13333,933.66667,#N/A
118,Lenny4,1,180.78327,184.0666,187.9666,191.66659,195.59993,199.23326,203.36659,206.83326,209.84992
119,Lenny4,2,318.58321,322.01655,325.33321,328.44988,332.28321,335.74987,339.13321,343.44987,346.8832
120,Lenny4,3,428.16651,430.44984,434.84984,438.58317,442.23317,444.93317,449.3665,453.39983,457.41649
121,Lenny4,4,557.78312,565.71645,567.68312,571.74978,574.43312,577.94978,581.06645,584.63311,588.06645
122,Lenny4,5,678.39974,685.51641,688.21641,691.06641,694.44974,697.9164,701.1664,704.5164,709.38307
123,Lenny4,6,804.1497,810.91636,812.56636,816.34969,819.43302,822.24969,826.53302,829.88302,832.41635
124,Nikita4,2,119.89994,122.93327,125.28327,128.64993,131.39993,134.38326,137.24993,140.31659,143.43326
125,Nikita4,3,229.69988,232.56654,235.43321,238.01654,240.91654,243.49987,246.11654,249.46653,252.46653
126,Nikita4,4,380.76646,385.69979,392.68312,395.28312,398.04979,401.11645,403.93312,406.46645,410.21645
127,Nikita4,5,513.58306,518.14972,525.11639,527.89972,530.91638,533.41638,537.71638,540.61638,544.76638
128,Nikita4,6,648.26632,653.09965,663.79965,665.98298,669.46631,672.81631,676.24964,679.14964,682.5163
129,Blue5,1,246.75,250.73333,254.98333,258.76667,262.6,266.75,272.35,275.53333,282.91667
130,Blue5,2,379.4,382.41667,386.56667,390.53333,394.38333,398.23333,401.75,405.26667,409.15
131,Blue5,3,524.38333,527.41667,530.75,533.6,537.25,540.28333,544.05,548.26667,551.78333
132,Blue5,4,660,666.91667,677.48333,680.63333,683.3,686.88333,691.01667,694.81667,698.16667
133,Blue5,5,796.88333,801.5,810.41667,814.18333,818.43333,822.53333,826.36667,829.66667,833.05
134,Blue5,6,921.51667,928.61667,937.08333,939.96667,944.1,947.16667,950.81667,954.55,957.73333
135,Gandalf,1,190.48314,197.7998,204.29979,211.04978,222.39977,228.01643,234.03309,239.38309,246.41641
136,Gandalf,2,323.04967,327.34966,332.04966,337.06632,341.41632,346.96631,352.99964,358.58297,367.38296
137,Gandalf,3,453.98287,458.59953,465.33286,469.33285,473.44952,479.29951,484.66617,491.26616,496.56616
138,Gandalf,4,600.54939,607.68271,609.98271,615.64937,619.2327,624.93269,631.26602,637.89935,642.04934
139,Gandalf,5,738.94924,745.59924,749.58257,754.36589,760.18256,763.38255,769.71588,775.13254,781.73253
140,Gandalf,6,862.06578,867.08245,868.38244,874.86577,880.63243,884.33243,890.78242,894.59908,901.53241
141,Moon2,1,257.71667,262.1,268.1,273.81667,281.9,286.63333,291.81667,296.86667,302.1
142,Moon2,2,396.06667,400.15,403.86667,407.45,411.68333,417.33333,421.41667,425.61667,430.61667
143,Moon2,3,555.16667,558.05,562.91667,567.11667,570.48333,575.76667,579.15,584.3,589.3
144,Moon2,4,768.63333,773.61667,791.38333,793.81667,799.98333,803.48333,808.68333,810.86667,819.01667
145,Moon2,5,909.91667,917.9,928.21667,932.58333,937.78333,942.16667,946.56667,950.98333,955.13333
146,Moon2,6,1053.86667,1059.18333,1072.45,1076.45,1081.11667,1082.35,1088.66667,1094.16667,1098.03333
147,Twix,1,306.56644,312.59976,319.71643,326.58309,333.54975,343.01641,350.48307,360.04973,369.51639
148,Twix,2,461.88299,467.28298,473.69964,479.78297,486.2663,493.28296,499.69962,506.99962,#N/A
149,Twix,3,606.08288,611.88287,617.13287,622.63287,629.98286,636.86619,643.84952,652.11618,658.5995
150,Twix,4,784.43274,790.74941,798.0994,803.31606,809.51606,816.81605,823.13271,830.24938,836.34937
151,Twix,5,927.4493,936.48263,942.84929,948.39929,955.33262,963.19928,970.41594,977.11593,#N/A
152,Twix,6,1076.98252,1083.26585,1090.83251,1094.31584,1102.04917,1109.79917,1116.76583,1124.34916,1130.38248
153,Ava,1,232.55,238.45,245.7,249.65,254.1,258.11667,265.08333,270.63333,275.61667
154,Ava,2,367.06667,373.26667,381.48333,385.05,389.46667,393.76667,398.35,407.28333,412.96667
155,Ava,3,530.35,536.35,542.33333,545.98333,550.03333,555.05,560.81667,564.66667,569.23333
156,Ava,4,687.16667,690.43333,694.93333,700.48333,705.38333,710.63333,718.21667,722.61667,#N/A
157,Ava,5,818.91667,824.46667,829.5,836.8,842.38333,846.75,853.61667,859.43333,964.38333
158,Ava,6,967.38333,973.43333,977.9,984.56667,989.5,997.88333,1003.6,#N/A,#N/A
159,Maze,1,315,322.61667,331.58333,336.73333,342.4,347.23333,351.88333,356.86667,363
160,Maze,2,455.6,461.5,467.65,472.21667,477,480.73333,486.91667,492.15,496.4
161,Maze,3,608.15,618.1,623.83333,627.28333,631.26667,635.31667,639.4,643.93333,649.58333
162,Maze,4,753.63333,757.33333,762.15,766.53333,770.75,775.28333,779.41667,784.7,#N/A
163,Maze,5,880.21667,884.3,888.23333,892.81667,897.35,901.61667,906.1,910.11667,914.53333
164,Maze,6,1029.51667,1034.51667,1038.75,1042.71667,1048.28333,1051.78333,1058.96667,1063.55,#N/A
165,Kito,1,326.03333,330.5,336.33333,339.88333,343.65,347.36667,351.41667,355.33333,361.91667
166,Kito,2,456.55,459.65,462.85,466.36667,469.91667,473.48333,477.78333,484.63333,581.86667
167,Kito,3,584.15,587.26667,589.8,592.96667,596.6,599.75,603.9,609.56667,612.63333
168,Kito,4,713.23333,719.36667,727.18333,731.26667,734.96667,739.05,742.45,746.16667,750.58333
169,Kito,5,854.6,860.68333,867.73333,871.63333,880.25,883.4,887.53333,890.85,895.11667
170,Kito,6,1000.28333,1006.46667,1012.95,1016.43333,1019.06667,1023.06667,1026.33333,1030.3,1035.33333
171,Nele4,3,284.99985,293.86652,298.88318,303.49984,308.39984,320.08317,325.68317,332.69983,338.09983
172,Nele4,4,461.4831,472.54976,483.88308,489.28308,494.46641,504.96641,510.3664,516.29973,523.1664
173,Nele4,5,606.94969,611.54969,623.33301,628.98301,635.76634,#N/A,#N/A,#N/A,#N/A
174,Nele4,6,1023.54947,1033.6828,1046.68279,1051.46613,1058.81612,1061.73279,1066.54945,1073.19945,#N/A
175,Zira,1,1187.26606,1202.09938,1212.84938,1218.74937,1224.56604,1231.76603,1237.69936,1243.49936,1249.49936
176,Zira,2,1341.01598,1349.19931,1359.43263,1363.51597,1368.71596,1374.03263,1378.99929,1388.61595,1394.04928
177,Zira,3,1488.44924,1495.68257,1508.69922,1516.53255,1521.44922,1526.11588,1530.96588,1535.99921,1541.59921
178,Zira,4,1637.54916,1642.73249,1647.53249,1653.98248,1659.93248,1664.01581,1675.59914,1679.4658,1685.54913
179,Zira,5,1778.53242,1781.99908,1788.78241,1793.73241,1799.78241,1806.79907,1811.86574,1819.44907,#N/A
180,Zira,6,1924.19901,1928.86568,1933.46567,1938.61567,1943.71567,1949.249,1954.799,1960.26566,1965.86566
181,Loki6,1,274.13315,281.06647,288.86647,294.43313,300.91646,309.03312,315.19978,321.88311,#N/A
182,Loki6,2,411.76638,415.24972,423.18304,431.43304,440.98303,447.89969,454.56636,469.14968,#N/A
183,Loki6,3,560.09962,568.14961,577.08294,584.3496,591.58293,598.28292,605.51625,614.69958,#N/A
184,Loki6,4,713.36618,720.38284,729.06617,738.04949,744.93282,753.26615,761.44948,774.86614,871.01607
185,Loki6,5,876.6994,886.84939,894.13272,904.14938,911.49938,921.19937,931.31603,#N/A,#N/A
186,Loki6,6,1028.44929,1041.01595,1051.18261,1060.76594,1068.11594,1087.59926,1095.79925,1114.7659,#N/A
187,Lexi3,1,250.33333,258.28333,266.51667,270.85,275.98333,283.56667,289.6,295.61667,301.45
188,Lexi3,2,384.86667,389.75,399.6,403.96667,417.35,422.46667,427.6,434.1,439.58333
189,Lexi3,3,523.55,530.9,541.9,546.51667,551.83333,557.4,563.1,569.66667,575.68333
190,Lexi3,4,666.38333,672.25,677.55,682.95,688.76667,694.73333,702.78333,707.93333,#N/A
191,Lexi3,5,795.03333,799.5,805.18333,809.85,813.78333,820.46667,827.36667,832.85,#N/A
192,Lexi3,6,925.03333,928.88333,934.81667,938.88333,945.66667,953.8,960.41667,965.56667,971.98333
193,Akido,6,1782.06667,1789.08333,1799.31667,1803.98333,1809.33333,1817.05,1822.28333,1834.9,1843.31667
194,Akido,1,1078.68333,1085.48333,1097.58333,1110.85,1118.71667,1134.91667,1139.86667,#N/A,#N/A
195,Akido,2,1223.46667,1228,1232.7,1238.53333,1244.05,1249.35,1255.45,1266.88333,1272.95
196,Akido,3,1349.36667,1355,1359.86667,1366.13333,1371.06667,1377.36667,1385.73333,1397.9,#N/A
197,Akido,4,1504.35,1511.96667,1521.8,1527.06667,1532.91667,1537.56667,1543.3,1548,#N/A
198,Akido,5,1638.56667,1646.43333,1655.46667,1659.48333,1664.55,1673.1,1685.06667,1697.96667,1704.7
199,Teodor,1,195.51657,203.83323,210.7999,220.69989,227.04989,232.19989,238.83322,245.11655,251.38321
200,Teodor,2,343.68316,349.5165,355.61649,361.93316,367.26649,373.19982,380.48315,385.64981,391.21647
201,Teodor,3,485.6831,490.23309,496.24976,500.93309,507.51642,515.91641,519.58308,526.13308,535.19974
202,Teodor,4,707.63299,716.23298,727.36631,731.11631,736.49964,741.79964,748.53297,756.63296,#N/A
203,Teodor,5,869.71624,879.21624,887.7829,892.21623,898.26623,904.18289,911.43289,916.19955,#N/A
204,Teodor,6,1022.3995,1027.68283,1039.49949,1044.18282,1051.23282,1057.13281,1063.53281,#N/A,#N/A
