Subject,Sex,breed,birth_date,test_date,Session,Number_boxes,Trial_number,trial_correct,number_redundant_searched,first_choice,second_choice,second_choice_correct,third_choice,third_choice_correct,fourth_choice,fourth_choice_correct,comment
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,1,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,2,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,3,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,4,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,5,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,6,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,8,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,9,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,2,10,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,11,0,1,3,2,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,12,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,13,0,1,3,1,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,14,0,1,3,1,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,15,0,1,3,2,1,3,0,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,3,16,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,17,0,1,2,3,1,1,1,1,0,a choice
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,18,1,0,3,1,1,4,1,2,1,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,19,0,1,3,1,1,3,0,2,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,20,0,1,3,1,1,4,1,4,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,21,0,1,1,3,1,4,1,3,0,
Tenya,F,Collie Rough,13.03.2016,09/06/2022,1,4,22,0,1,3,2,1,4,1,4,0,"Tenya's first appointment had 10 trials with 2 boxes, 6 with 3 boxes, and 6 with 4 boxes instead of the usual 8 trials times 3. I also should've marked the black box as the 4th choice by our coding criteria; in the trial I gave tenya the treat from the last box because i hadnt thought the second approach of the black box was a choice"
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,1,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,2,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,3,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,4,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,5,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,6,1,0,2,3,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,7,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,2,8,1,0,3,2,1,,,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,9,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,10,0,1,2,3,1,2,0,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,11,1,0,2,3,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,12,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,13,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,14,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,15,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,3,16,1,0,3,2,1,1,1,,,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,17,0,1,3,2,1,1,1,3,0,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,18,0,1,3,2,1,3,0,4,1,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,19,1,0,3,2,1,1,1,4,1,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,20,0,1,2,1,1,2,0,3,1,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,21,0,1,3,2,1,1,1,3,0,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,22,0,1,3,2,1,1,1,1,0,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,23,0,1,3,2,1,1,1,2,0,
Tenya,F,Collie Rough,13.03.2016,13/06/2022,2,4,24,1,0,3,2,1,1,1,4,1,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,1,1,0,2,3,1,,,,,10 warmup trials in the first session
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,2,1,0,2,3,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,3,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,4,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,5,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,6,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,7,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,8,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,9,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,2,10,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,11,0,1,3,2,1,2,0,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,12,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,13,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,14,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,15,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,16,1,0,1,2,1,3,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,17,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,3,18,0,1,3,2,1,2,0,,,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,19,0,1,3,2,1,1,1,3,0,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,20,0,1,3,2,1,1,1,3,0,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,21,1,0,3,2,1,1,1,4,1,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,22,NA,NA,3,2,1,1,1,NA,NA,"Dog didn’t make a 4th choice, was called back by owner"
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,23,0,1,3,2,1,1,1,2,0,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,24,0,1,3,2,1,1,1,2,0,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,25,0,1,3,2,1,1,1,3,0,
Roku,M,Mudi,23.04.2020,09/06/2022,1,4,26,1,0,3,2,1,1,1,4,1,"Roku's first appointment has 10 trials 2 boxes, 8 trials 3 boxes, 8 trials 4 boxes"
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,1,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,2,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,3,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,4,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,5,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,6,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,7,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,2,8,1,0,3,2,1,,,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,9,1,0,3,1,1,2,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,10,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,11,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,12,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,13,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,14,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,15,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,3,16,1,0,3,2,1,1,1,,,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,17,1,0,3,2,1,1,1,4,1,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,18,0,1,2,1,1,2,0,4,1,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,19,0,1,3,2,1,1,1,2,0,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,20,0,1,3,2,1,1,1,1,0,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,21,0,1,2,1,1,4,1,2,0,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,22,NA,NA,3,2,1,1,1,NA,NA,Dog didn’t make a 4th choice
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,23,1,0,3,2,1,1,1,4,1,
Roku,M,Mudi,23.04.2020,13/06/2022,2,4,24,NA,NA,3,2,1,1,1,NA,NA,Dog didn’t make a 4th choice
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,1,NA,NA,3,NA,NA,,,,,NA = No choice. Do I code trials with no choice as correct?
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,2,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,3,NA,NA,2,NA,NA,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,4,NA,NA,3,NA,NA,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,5,0,1,3,3,0,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,6,1,0,2,3,1,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,7,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,2,8,1,0,2,3,1,,,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,9,0,1,2,1,1,2,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,10,0,1,3,1,1,3,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,11,0,1,3,2,1,2,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,12,1,0,2,1,1,3,1,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,13,0,1,1,3,1,3,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,14,0,1,2,1,1,1,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,15,0,1,3,1,1,3,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,3,16,0,1,2,1,1,2,0,,,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,17,1,0,2,1,1,4,1,3,1,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,18,1,0,3,4,1,1,1,2,1,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,19,0,1,3,1,1,3,0,4,1,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,20,0,1,3,1,1,3,1,3,0,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,21,1,0,2,1,1,4,1,3,1,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,22,0,1,3,4,1,4,0,1,1,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,23,0,2,3,3,0,4,1,4,0,
Fanny9,F,Poodle,10.03.2020,09/06/2022,1,4,24,0,1,3,1,1,3,0,4,1,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,1,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,2,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,3,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,4,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,5,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,6,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,7,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,2,8,1,0,3,2,1,,,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,9,0,1,2,1,1,2,0,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,10,1,0,3,2,1,1,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,11,1,0,3,2,1,1,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,12,0,1,3,1,1,3,0,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,13,1,0,3,2,1,1,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,14,1,0,3,1,1,2,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,15,1,0,3,2,1,1,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,3,16,1,0,3,2,1,1,1,,,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,17,1,0,3,4,1,1,1,2,1,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,18,0,1,2,1,1,2,0,3,1,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,19,0,1,1,2,1,3,1,1,0,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,20,1,0,3,2,1,1,1,4,1,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,21,0,1,2,1,1,3,1,2,0,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,22,1,0,3,2,1,1,1,4,1,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,23,0,1,3,2,1,1,1,3,0,
Fanny9,F,Poodle,10.03.2020,13/06/2022,2,4,24,0,1,3,2,1,1,1,3,0,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,1,1,0,2,3,1,,,,,"Mogli's first session had 10 trials with 2 boxes, 8 trials with 3 boxes, 8 trials with 4 boxes"
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,2,0,1,2,2,0,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,3,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,4,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,5,0,1,2,2,0,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,6,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,2,8,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,9,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,10,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,11,0,1,2,3,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,12,1,0,1,2,1,3,1,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,13,0,1,2,1,1,1,0,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,14,1,0,2,1,1,3,1,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,15,1,0,2,1,1,3,1,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,3,16,0,1,2,3,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,17,0,1,2,1,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,18,0,1,2,3,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,19,1,0,2,3,1,4,1,1,1,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,20,1,0,2,3,1,4,1,1,1,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,21,0,1,2,3,1,4,1,3,0,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,22,1,0,2,3,1,4,1,1,1,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,23,1,0,3,4,1,1,1,2,1,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,24,0,1,2,3,1,4,1,3,0,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,25,0,1,2,3,1,4,1,3,0,
Mogli5,M,Border Collie,12.04.2020,09/06/2022,1,4,26,0,1,2,3,1,4,1,2,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,1,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,2,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,3,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,4,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,5,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,6,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,7,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,2,8,1,0,2,3,1,,,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,9,1,0,2,3,1,1,1,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,10,0,1,2,1,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,11,0,1,2,1,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,12,1,0,2,1,1,3,1,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,13,0,1,2,3,1,3,0,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,14,0,1,2,3,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,15,1,0,2,3,1,1,1,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,3,16,0,1,2,3,1,2,0,,,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,17,0,1,2,3,1,4,1,3,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,18,1,0,2,3,1,4,1,1,1,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,19,0,1,2,3,1,4,1,4,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,20,0,1,2,3,1,4,1,2,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,21,0,1,2,3,1,4,1,4,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,22,0,1,2,3,1,4,1,2,0,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,23,1,0,2,3,1,4,1,1,1,
Mogli5,M,Border Collie,12.04.2020,14/06/2022,2,4,24,0,1,2,3,1,4,1,3,0,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,1,0,1,2,2,0,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,2,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,3,0,1,2,2,0,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,4,0,1,2,2,0,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,5,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,6,1,0,3,2,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,2,8,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,9,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,10,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,11,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,12,1,0,3,2,1,1,1,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,13,1,0,2,3,1,1,1,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,14,1,0,2,3,1,1,1,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,15,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,3,16,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,17,0,1,2,3,1,4,1,2,0,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,18,0,1,2,3,1,2,0,1,1,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,19,0,1,2,3,1,4,1,3,0,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,20,0,1,2,1,1,2,0,3,1,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,21,0,2,2,3,1,3,0,2,0,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,22,0,1,2,3,1,2,0,1,1,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,23,0,2,2,3,1,2,0,3,0,
Jaimie ,M,Border Collie,06.06.2019,09/06/2022,1,4,24,1,0,2,3,1,2,0,1,1,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,1,1,0,2,3,1,,,,,
