Subject,Sex,breed,birth_date,test_date,Session,Number_boxes,Trial_number,trial_correct,number_redundant_searched,first_choice,second_choice,second_choice_correct,third_choice,third_choice_correct,fourth_choice,fourth_choice_correct,comment
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,2,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,3,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,4,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,5,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,6,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,7,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,2,8,1,0,2,3,1,,,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,9,0,1,2,3,1,2,0,,,"In one of these trials with 3 boxes, the dog became scared by a noise that came from the yellow box, and it seems like he avoided the yellow box after that "
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,10,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,11,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,12,0,1,2,3,1,3,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,13,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,14,0,1,2,3,1,3,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,15,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,3,16,0,1,2,3,1,2,0,,,
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,17,NA,NA,2,3,1,2,0,,,Dog didn’t make 4th choice
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,18,0,1,2,3,1,4,1,2,0,"For all the rest of these trials, the dog would stop searching at a certain point and need encouragement from the owner"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,19,0,1,2,3,1,1,1,3,0,"dog was bored, needed encouragement from owner to search"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,20,1,0,2,3,1,4,1,1,1,"dog was bored, needed encouragement from owner to search"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,21,1,0,2,3,1,4,1,1,1,"dog was bored, needed encouragement from owner to search"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,22,NA,NA,2,3,1,3,0,,,"dog was bored, needed encouragement from owner to search"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,23,NA,NA,3,3,0,4,1,,,"dog was bored, needed encouragement from owner to search"
Jaimie ,M,Border Collie,06.06.2019,16/06/2022,2,4,24,0,1,3,4,1,3,0,2,1,"dog was bored, needed encouragement from owner to search"
Coco,F,Mix,14.5.2018,10/06/2022,1,2,1,0,1,3,3,0,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,2,1,0,2,3,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,3,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,4,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,5,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,6,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,7,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,2,8,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,9,0,1,2,3,1,2,0,,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,10,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,11,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,12,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,13,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,14,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,15,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,3,16,1,0,3,1,2,1,1,1,,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,17,0,1,3,2,1,1,1,2,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,18,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,19,0,1,3,2,1,1,1,2,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,20,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,21,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,22,1,0,3,2,1,1,1,4,1,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,23,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,10/06/2022,1,4,24,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,1,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,2,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,3,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,4,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,5,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,6,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,7,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,2,8,1,0,3,2,1,,,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,9,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,10,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,11,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,12,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,13,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,14,1,0,3,2,1,1,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,15,1,0,1,2,1,3,1,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,3,16,0,1,2,1,1,2,0,,,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,17,0,1,2,1,1,2,0,3,1,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,18,0,1,3,2,1,1,1,3,0,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,19,0,1,3,2,1,1,1,1,0,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,20,0,1,2,3,1,2,0,1,1,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,21,0,1,2,1,1,2,0,3,1,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,22,0,1,1,2,1,3,1,2,0,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,23,0,1,1,2,1,3,1,2,0,
Coco,F,Mix,14.5.2018,16/06/2022,2,4,24,0,1,2,1,1,2,0,3,1,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,1,1,0,3,2,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,2,NA,NA,2,,,,,,,no 2nd choice
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,3,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,4,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,5,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,6,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,2,8,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,9,0,1,2,3,1,3,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,10,0,1,2,3,1,3,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,11,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,12,0,1,2,1,1,1,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,13,0,1,2,1,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,14,0,1,2,3,1,3,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,15,NA,NA,2,3,1,,,,,No clear third choice?
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,3,16,0,1,2,1,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,17,NA,NA,2,3,1,4,1,,,no 4th choice
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,18,0,2,2,1,1,2,0,1,0,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,19,0,1,2,3,1,4,1,4,0,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,20,0,1,2,1,1,2,0,3,1,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,21,0,1,2,1,1,2,0,3,1,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,22,0,1,2,3,1,4,1,3,0,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,23,0,1,2,1,1,2,0,3,1,
Sol,M,Shih Tzu,31.7.2021,09/06/2022,1,4,24,NA,NA,2,3,1,4,1,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,1,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,2,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,3,0,1,2,2,0,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,4,0,1,2,2,0,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,5,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,6,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,7,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,2,8,1,0,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,9,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,10,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,11,0,1,2,3,1,3,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,12,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,13,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,14,0,1,2,3,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,15,NA,NA,2,3,1,,,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,3,16,0,1,2,1,1,2,0,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,17,0,1,2,3,1,4,1,3,0,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,18,0,1,2,3,1,4,1,4,0,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,19,0,1,2,1,1,2,0,3,1,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,20,0,2,3,2,1,2,0,3,0,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,21,NA,NA,2,3,1,4,1,,,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,22,0,2,2,1,1,1,0,2,0,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,23,0,1,2,3,1,4,1,3,0,
Sol,M,Shih Tzu,31.7.2021,16/06/2022,2,4,24,0,1,2,3,1,4,1,3,0,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,1,1,0,3,2,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,2,0,1,3,3,0,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,3,1,0,3,2,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,4,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,5,1,0,3,2,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,6,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,7,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,2,8,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,9,0,1,2,1,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,10,1,0,3,2,1,1,1,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,11,0,1,2,1,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,12,0,1,2,3,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,13,1,0,3,2,1,1,1,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,14,1,0,3,2,1,1,1,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,15,0,1,2,3,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,3,16,0,1,2,3,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,17,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,18,1,0,2,1,1,3,1,4,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,19,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,20,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,21,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,22,0,1,3,2,1,1,1,2,0,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,23,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,13/06/2022,1,4,24,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,1,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,2,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,3,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,4,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,5,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,6,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,7,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,2,8,1,0,2,3,1,,,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,9,0,1,2,1,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,10,0,1,2,3,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,11,1,0,1,2,1,3,1,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,12,0,1,2,1,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,13,0,1,2,1,1,3,0,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,14,1,0,3,2,1,1,1,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,15,0,1,2,1,1,2,0,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,3,16,1,0,3,2,1,1,1,,,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,17,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,18,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,19,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,20,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,21,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,22,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,23,0,1,2,1,1,2,0,3,1,
Sepp ,M,Beagle,11.6.2012,20/06/2022,2,4,24,0,1,2,1,1,2,0,3,1,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,1,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,2,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,3,1,0,3,2,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,4,0,1,3,3,0,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,5,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,6,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,7,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,2,8,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,9,0,1,2,3,1,2,0,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,10,1,0,2,3,1,1,1,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,11,1,0,2,3,1,1,1,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,12,1,0,1,2,1,3,1,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,13,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,14,1,0,2,3,1,1,1,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,15,1,0,2,3,1,1,1,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,3,16,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,17,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,18,0,2,2,3,1,2,0,3,0,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,19,1,0,2,3,1,4,1,1,1,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,20,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,21,1,0,1,2,1,3,1,4,1,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,22,0,1,2,4,1,3,1,2,0,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,23,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,14/06/2022,1,4,24,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,1,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,2,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,3,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,4,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,5,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,6,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,7,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,2,8,1,0,2,3,1,,,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,9,1,0,1,2,1,3,1,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,10,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,11,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,12,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,13,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,14,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,15,0,1,2,3,1,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,3,16,0,2,3,3,0,3,0,,,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,17,0,2,2,3,1,2,0,3,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,18,0,1,2,3,1,4,1,3,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,19,0,1,2,3,1,4,1,3,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,20,0,1,2,3,1,4,1,3,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,21,0,1,2,3,1,4,1,3,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,22,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,23,0,1,2,3,1,4,1,4,0,
Marley,M,Mix,2.7.2010,21/06/2022,2,4,24,0,2,3,4,1,3,0,4,0,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,1,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,2,0,1,2,2,0,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,3,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,4,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,5,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,6,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,7,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,2,8,1,0,2,3,1,,,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,9,1,0,1,2,1,3,1,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,10,0,1,1,3,1,3,0,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,11,1,0,1,2,1,3,1,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,12,0,1,2,1,1,2,0,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,13,1,0,1,2,1,3,1,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,14,1,0,1,2,1,3,1,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,15,0,1,2,1,1,2,0,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,3,16,0,1,1,2,1,1,0,,,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,17,1,0,1,2,1,3,1,4,1,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,18,0,1,1,2,1,3,1,3,0,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,19,1,0,1,2,1,3,1,4,1,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,20,1,0,1,2,1,3,1,4,1,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,21,1,0,1,2,1,3,1,4,1,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,22,1,0,1,2,1,3,1,4,1,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,23,0,1,1,2,1,3,1,3,0,
Grace,F,Labrador Retriever,30.11.2018,09/06/2022,1,4,24,1,0,1,2,1,3,1,4,1,
